time,world_time,Fx,Fy,Fz,LPF_Fx,LPF_Fy,LPF_Fz,Mx,My,Mz,force_magnitude,touch_count,Volt_FSR1,Volt_FSR2,Ohm_FSR1,Ohm_FSR2,V1thers,V2thers
19.6510646,20.2177675,1.2935260000000006,0.3034309999999662,20.40842100000005,0.984156964606988,-0.1241623911485863,13.27388826904215,0.0475951200000004,-0.17121736,0.0322490800000007,13.31090120951151,1.0,199.9,3382.21,240125.06253126563,4783.233447952671,0.0,3382.21
19.76109,20.3277929,1.7035260000000003,0.6734309999999664,23.608421000000053,1.1561273289595406,0.0665080705096203,15.744432971018728,0.0563951200000004,-0.19601736,0.0250490800000007,15.786963713872014,1.0,205.28,3445.75,233569.75837879968,4510.6290357687,0.0,3445.75
19.8718837,20.4385866,1.5435260000000006,0.4234309999999663,24.233421000000053,1.2487377796889434,0.1518330750765758,17.77378688049137,0.0551951200000004,-0.20481736,0.0282490800000007,17.818246249231066,1.0,205.77,3494.13,232989.74583272584,4309.713719867321,0.0,3494.13
19.9827554,20.5494583,1.4535260000000003,0.1834309999999661,24.968421000000053,1.2976938830646785,0.1593867872806205,19.493716137995847,0.0579951200000004,-0.21321736,0.0302490800000007,19.537512186326666,1.0,205.28,3512.22,233569.75837879968,4236.010272705013,0.0,3512.22
20.0927476,20.6594505,1.1335260000000005,0.5834309999999663,24.42342100000005,1.2584483647331923,0.2607576194614874,20.672197695526684,0.0443951200000004,-0.21321736,0.0298490800000007,20.712108641703907,1.0,205.77,3527.37,232989.74583272584,4174.86682712616,0.0,3527.37
20.2036014,20.7703043,0.9935260000000006,0.7234309999999662,24.40342100000005,1.1951167597476973,0.3713630332515876,21.564173579365583,0.0339951200000004,-0.20881736,0.0326490800000007,21.600458252845108,1.0,205.77,3531.28,232989.74583272584,4159.171745089599,0.0,3531.28
20.3139382,20.8806411,1.3335260000000009,1.0434309999999662,26.088421000000054,1.2282044884444776,0.5320257354601353,22.64572760667028,0.0363951200000004,-0.21561736,0.0230490800000007,22.685248874194336,1.0,208.7,3544.97,229578.34211787253,4104.491716432015,0.0,3544.97
20.4247924,20.9914953,1.4535260000000003,1.0834309999999665,28.33342100000005,1.2820692234167046,0.6638431470853444,24.00541179802855,0.0507951200000004,-0.22481736,0.0230490800000007,24.048787595438004,1.0,210.65,3568.43,227360.5506764776,4011.764277287211,0.0,3568.43
20.5355771,21.10228,1.4135260000000005,0.8584309999999663,27.078421000000056,1.3134949154515176,0.710360778951479,24.740036845981955,0.0599951200000004,-0.21521736,0.0246490800000007,24.78506212358029,1.0,208.7,3586.02,229578.34211787253,3943.0343389049694,0.0,3586.02
20.6473064,21.2140093,1.2485260000000005,0.7534309999999662,26.06842100000005,1.2979636269026802,0.720657026415629,25.05759667372996,0.0547951200000004,-0.20321736,0.0258490800000007,25.10153794471181,1.0,210.65,3574.29,227360.5506764776,3988.79217970562,0.0,3574.29
20.7580951,21.324798,1.3435260000000004,0.5284309999999663,27.163421000000053,1.3088556413164398,0.6747040062349858,25.56100919057993,0.0683951200000004,-0.21681736,0.0266490800000007,25.60338882700388,1.0,210.65,3578.69,227360.5506764776,3971.592957199421,0.0,3578.69
20.8685979,21.4353008,1.1285260000000006,0.9784309999999664,30.428421000000053,1.2657465379286206,0.7473121381000629,26.72459914390978,0.0791951200000004,-0.24321736,0.0298490800000007,26.764991857512182,1.0,210.17,3589.44,227902.65023552364,3929.749487385219,0.0,3589.44
20.9877556,21.5544585,1.0435260000000006,-0.1115690000000337,33.26342100000005,1.212623113102131,0.5419903978142657,28.28775174251161,0.1071951200000004,-0.27641736,0.0354490800000007,28.31891782981336,1.0,209.68,3610.46,228458.6035864174,3848.650864432788,0.0,3610.46
21.0977606,21.6644635,0.9435260000000004,-0.4865690000000338,35.648421000000056,1.1482935043622844,0.2961058438540979,30.047372899123346,0.1247951200000004,-0.28281736,0.0378490800000007,30.07076445290172,1.0,211.14,3653.96,226809.69972530077,3683.784168409068,0.0,3653.96
21.2077738,21.7744767,0.3785260000000003,0.6284309999999662,38.008421000000055,0.9642750219437084,0.3755505730183176,31.95051895515008,0.0943951200000004,-0.30401736,0.0450490800000007,31.967272734067308,1.0,211.14,3661.29,226809.69972530077,3656.3888684043054,0.0,3661.29
