Time, FSR1, FSR2, FSR3, FSR4, FSR5, FSR6, Unit
09:47:31.895 10.17,0.00,0.00,0.00,0.00,0.00,N 
09:47:32.008 12.44,0.00,0.00,0.00,0.00,0.00,N 
09:47:32.122 12.72,0.00,0.00,0.00,0.00,0.00,N 
09:47:32.237 14.30,0.00,0.00,0.00,0.00,0.00,N 
09:47:32.354 16.42,0.00,0.00,0.00,0.00,0.00,N 
09:47:32.467 14.76,0.00,0.00,0.00,0.00,0.00,N 
09:47:32.585 17.09,0.00,0.00,0.00,0.00,0.00,N 
09:47:32.698 20.55,0.00,0.00,0.00,0.00,0.00,N 
09:47:32.817 22.69,0.00,0.00,0.00,0.00,0.00,N 
09:47:32.931 25.58,0.00,0.00,0.00,0.00,0.00,N 
09:47:33.051 28.92,0.00,0.00,0.00,0.00,0.00,N 
09:47:33.164 31.49,0.00,0.00,0.00,0.00,0.00,N 
09:47:33.278 33.28,0.00,0.00,0.00,0.00,0.00,N 
09:47:33.392 34.68,0.00,0.00,0.00,0.00,0.00,N 
09:47:33.506 35.93,0.00,0.00,0.00,0.00,0.00,N 
09:47:33.620 36.59,0.00,0.00,0.00,0.00,0.00,N 
09:47:33.734 37.36,0.00,0.00,0.00,0.00,0.00,N 
09:47:33.848 39.26,0.00,0.00,0.00,0.00,0.00,N 
09:47:33.966 42.67,0.00,0.00,0.00,0.00,0.00,N 
09:47:34.080 45.90,0.00,0.00,0.00,0.00,0.00,N 
09:47:34.194 49.62,0.00,0.00,0.00,0.00,0.00,N 
09:47:34.308 53.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:34.426 55.47,0.00,0.00,0.00,0.00,0.00,N 
09:47:34.539 57.94,0.00,0.00,0.00,0.00,0.00,N 
09:47:34.653 59.66,0.00,0.00,0.00,0.00,0.00,N 
09:47:34.767 60.37,0.00,0.00,0.00,0.00,0.00,N 
09:47:34.881 60.65,0.00,0.00,0.00,0.00,0.00,N 
09:47:34.995 60.73,0.00,0.00,0.00,0.00,0.00,N 
09:47:35.109 61.69,0.00,0.00,0.00,0.00,0.00,N 
09:47:35.223 61.69,0.00,0.00,0.00,0.00,0.00,N 
09:47:35.337 62.22,0.00,0.00,0.00,0.00,0.00,N 
09:47:35.451 62.69,0.00,0.00,0.00,0.00,0.00,N 
09:47:35.565 62.61,0.00,0.00,0.00,0.00,0.00,N 
09:47:35.679 63.01,0.00,0.00,0.00,0.00,0.00,N 
09:47:35.793 63.66,0.00,0.00,0.00,0.00,0.00,N 
