Time,Fx,Fy,Fz,Mx,My,Mz
194818,-0.0427825,-0.02979,-0.0026855,-3.548e-05,-0.00017508,0.00099632
195608,-0.0627825,-0.01479,0.0073145,-0.00043548,0.00022492,0.00059632
196515,-0.0027825,-0.02979,0.0273145,-3.548e-05,-0.00017508,0.00019632
197313,-0.0027825,-0.02979,0.0073145,-3.548e-05,0.00022492,0.00099632
198125,0.0222175,-0.03979,0.0273145,-3.548e-05,0.00022492,-0.00020368
199010,0.0872175,-0.00479,0.0273145,-3.548e-05,-0.00017508,-0.00020368
199840,0.0172175,0.00521,0.0023145,0.00036452,-0.00017508,-0.00060368
200655,0.0222175,-0.01979,0.0173145,-3.548e-05,-0.00017508,0.00019632
201473,-0.0227825,-0.01479,-0.0026855,-3.548e-05,-0.00017508,0.00099632
202318,-0.0227825,0.01021,-0.0076855,-3.548e-05,-0.00017508,0.00099632
203138,-0.0627825,0.01021,-0.0176855,-0.00043548,-0.00017508,0.00019632
204028,0.0222175,-0.06479,0.0073145,-3.548e-05,0.00022492,-0.00060368
204815,-0.0227825,-0.01479,0.0073145,-3.548e-05,0.00022492,0.00019632
205660,-0.0627825,0.05521,0.0123145,-3.548e-05,-0.00017508,-0.00060368
206500,-0.0027825,0.02021,0.0023145,-3.548e-05,-0.00017508,-0.00060368
207344,-0.0227825,0.01021,0.0023145,-0.00043548,-0.00017508,0.00019632
208112,0.0022175,-0.02979,0.0273145,-3.548e-05,0.00022492,0.00019632
209008,-0.0627825,0.03021,0.0123145,-3.548e-05,0.00022492,-0.00020368
209924,-0.0427825,-0.00479,0.0023145,-3.548e-05,0.00022492,0.00059632
210658,-0.0627825,0.08021,0.0123145,-3.548e-05,-0.00017508,0.00099632
211456,-0.0027825,0.02021,0.0023145,-3.548e-05,-0.00017508,0.00019632
212320,-0.0627825,0.01021,0.0023145,-3.548e-05,0.00022492,0.00099632
213161,0.0022175,0.02021,0.0223145,-0.00043548,0.00022492,0.00019632
213937,0.0222175,-0.03979,0.0173145,-0.00043548,-0.00017508,-0.00020368
214829,-0.0227825,-0.03979,0.0173145,-3.548e-05,-0.00017508,-0.00100368
215665,-0.107783,-0.03979,-0.0026855,-3.548e-05,0.00022492,-0.00100368
216478,-0.0877825,-0.02979,-0.0026855,-3.548e-05,0.00022492,-0.00060368
217289,-0.0227825,0.05521,0.0223145,-3.548e-05,-0.00017508,0.00019632
218156,0.0172175,0.00521,0.0123145,-3.548e-05,-0.00057508,0.00019632
218990,0.0622175,-0.08979,-0.0026855,-3.548e-05,-0.00017508,0.00019632
219818,0.0422175,-0.00479,-0.0276855,-3.548e-05,0.00022492,-0.00020368
220613,0.0472175,0.04521,-0.0076855,-0.00043548,0.00022492,-0.00060368
221531,0.0222175,0.05521,0.0023145,-3.548e-05,0.00022492,-0.00060368
222379,-0.0227825,0.03021,0.0023145,0.00036452,0.00022492,-0.00100368
223148,-0.0627825,-0.01479,0.0373145,-3.548e-05,0.00022492,-0.00060368
223994,-0.0877825,-0.00479,0.0373145,-3.548e-05,0.00022492,0.00139632
224830,-0.0877825,-0.00479,0.0123145,-3.548e-05,-0.00017508,0.00059632
225663,-0.0677825,0.00521,-0.0076855,-3.548e-05,-0.00017508,0.00019632
226542,-0.0027825,0.09021,-0.0076855,-3.548e-05,-0.00017508,0.00019632
227345,-0.0027825,0.09021,-0.0076855,-3.548e-05,-0.00017508,-0.00060368
228174,-0.0627825,-0.01979,-0.0176855,-3.548e-05,-0.00017508,-0.00140368
229046,-0.0427825,-0.02979,-0.0176855,-0.00043548,-0.00017508,0.00019632
229795,0.0022175,0.02021,0.0023145,-0.00043548,-0.00017508,0.00019632
230615,-0.0227825,0.05521,-0.0076855,-3.548e-05,-0.00017508,-0.00060368
231490,0.0022175,0.02021,-0.0076855,-3.548e-05,-0.00017508,-0.00060368
232295,-0.0427825,0.02021,0.0023145,-3.548e-05,0.00022492,0.00019632
233162,0.0672175,-0.03979,0.0373145,-3.548e-05,0.00022492,0.00059632
233993,-0.0227825,0.00521,0.0023145,-3.548e-05,0.00022492,0.00019632
234817,-0.0027825,0.02021,0.0123145,-3.548e-05,-0.00017508,0.00019632
235657,0.0622175,-0.04479,0.0273145,0.00036452,-0.00017508,0.00059632
236443,0.0822175,-0.05479,0.0173145,0.00036452,-0.00057508,-0.00060368
237385,-0.0227825,0.00521,0.0023145,-3.548e-05,-0.00017508,0.00019632
238125,-0.0427825,0.02021,-0.0076855,-3.548e-05,0.00022492,0.00099632
238946,0.0872175,-0.00479,-0.0026855,-3.548e-05,0.00022492,0.00059632
239787,0.0222175,-0.01979,-0.0076855,-3.548e-05,-0.00017508,-0.00060368
240634,-0.0877825,-0.05479,0.0073145,-3.548e-05,0.00022492,-0.00060368
241489,-0.0427825,-0.05479,0.0173145,-3.548e-05,0.00022492,-0.00060368
242329,-0.0227825,0.03021,-0.0176855,-3.548e-05,-0.00017508,-0.00020368
243151,-0.0227825,0.05521,0.0023145,-3.548e-05,-0.00057508,-0.00060368
244023,0.0172175,0.05521,0.0123145,-3.548e-05,-0.00017508,0.00019632
244913,-0.0627825,0.00521,0.0123145,-3.548e-05,-0.00017508,0.00019632
245662,-0.0627825,-0.03979,0.0273145,-3.548e-05,0.00062492,-0.00020368
246494,-0.0227825,-0.01479,0.0373145,-3.548e-05,0.00022492,-0.00060368
247338,0.0422175,-0.05479,0.0173145,-3.548e-05,-0.00017508,0.00019632
248142,0.0022175,-0.07979,-0.0026855,-3.548e-05,0.00022492,-0.00020368
248959,-0.0227825,-0.03979,-0.0226855,-3.548e-05,0.00022492,-0.00020368
249864,0.0172175,-0.06479,-0.0126855,-3.548e-05,-0.00017508,0.00019632
250671,0.0422175,-0.05479,0.0173145,0.00036452,-0.00017508,-0.00060368
251497,0.0872175,-0.00479,-0.0276855,-3.548e-05,0.00022492,-0.00100368
252340,0.0622175,-0.03979,-0.0126855,-3.548e-05,-0.00017508,-0.00020368
253113,0.0672175,-0.06479,0.0073145,-3.548e-05,0.00022492,0.00099632
254011,0.0222175,-0.08979,0.0073145,-3.548e-05,0.00022492,0.00099632
254815,0.0872175,-0.07979,0.0073145,-3.548e-05,0.00022492,-0.00020368
255621,0.0172175,-0.01979,-0.0076855,-3.548e-05,-0.00017508,0.00019632
256448,0.0422175,-0.05479,-0.0126855,0.00036452,-0.00017508,0.00019632
257364,0.0422175,-0.10479,0.0273145,0.00036452,0.00022492,0.00099632
258163,-0.0227825,-0.06479,0.0273145,-3.548e-05,0.00022492,0.00019632
259017,-0.0427825,0.02021,0.0023145,-3.548e-05,0.00022492,-0.00140368
259816,-0.0227825,-0.01479,0.0373145,-3.548e-05,0.00022492,-0.00060368
260641,0.0872175,-0.02979,0.0373145,-3.548e-05,0.00022492,0.00099632
261488,0.0472175,0.02021,0.0273145,-3.548e-05,0.00022492,-0.00060368
262329,-0.0027825,-0.02979,0.0473145,-3.548e-05,-0.00017508,0.00019632
263139,-0.0427825,-0.02979,0.0273145,-3.548e-05,-0.00017508,0.00099632
264019,-0.0627825,-0.01479,0.0173145,-3.548e-05,-0.00017508,0.00019632
264847,0.0172175,-0.01979,0.0123145,-3.548e-05,-0.00057508,-0.00060368
265701,0.0422175,-0.00479,0.0023145,-3.548e-05,-0.00057508,0.00059632
266473,-0.0027825,-0.05479,-0.0126855,-3.548e-05,-0.00017508,0.00019632
267297,-0.0877825,-0.09979,0.0173145,0.00036452,0.00022492,0.00179632
268155,-0.0427825,-0.02979,0.0173145,-3.548e-05,-0.00017508,0.00099632
268995,0.0022175,-0.00479,0.0073145,-3.548e-05,0.00022492,0.00059632
269793,0.0222175,0.03021,0.0323145,-3.548e-05,0.00022492,-0.00020368
270641,0.0022175,0.02021,-0.0176855,-3.548e-05,-0.00017508,0.00019632
271480,-0.0427825,-0.05479,-0.0326855,-3.548e-05,-0.00017508,0.00099632
272342,-0.0227825,0.00521,-0.0076855,-3.548e-05,-0.00017508,0.00099632
273110,0.0422175,-0.00479,0.0123145,-3.548e-05,-0.00017508,-0.00100368
273967,0.0022175,0.02021,0.0223145,-3.548e-05,0.00022492,-0.00060368
274812,0.0422175,0.02021,-0.0176855,-3.548e-05,-0.00017508,-0.00060368
