V_FSR1[mV],V_FSR2[mV],FSR1_filtered,FSR2_filtered,,,,SME V1,SME V2,,Variance 1,Variance 2
19.06,56.7,18.87442023,56.51521379,,,,0.008211627,0.695699183,,,
20.04,59.14,20.30864521,59.43286761,,,,0.791000296,2.578960299,,,
20.04,57.18,19.74455381,56.70908481,,,,0.791000296,0.12537678,,,
18.08,54.74,18.33134932,55.39703928,,,,1.146222957,7.806915664,,,
20.04,61.09,19.90223418,60.29966652,,,,0.791000296,12.64452554,,,
19.06,56.21,19.03590303,57.04038702,,,,0.008211627,1.753203304,,,
19.06,57.18,19.2562855,56.41288568,,,,0.008211627,0.12537678,,,
19.06,58.16,18.72596039,58.77764677,,,,0.008211627,0.39176854,,,
16.62,57.67,17.01962166,57.25605967,,,,6.404027592,0.01847266,,,
20.04,57.67,19.66500818,57.85848866,,,,0.791000296,0.01847266,,,
18.57,57.18,18.83824078,57.21546399,,,,0.337117292,0.12537678,,,
17.6,57.67,17.48894687,57.42349488,,,,2.404416262,0.01847266,,,
18.57,58.16,18.51834514,58.60141797,,,,0.337117292,0.39176854,,,
18.08,58.16,18.25565446,57.541354,,,,1.146222957,0.39176854,,,
19.06,57.18,18.83004353,57.95278497,,,,0.008211627,0.12537678,,,
18.57,58.16,18.77454081,57.26704728,,,,0.337117292,0.39176854,,,
19.06,56.21,18.94812618,57.17570244,,,,0.008211627,1.753203304,,,
18.57,59.14,18.5524797,58.15916457,,,,0.337117292,2.578960299,,,
19.06,54.74,19.20402057,55.67694423,,,,0.008211627,7.806915664,,,
20.53,56.7,20.29993359,55.85647924,,,,1.902694631,0.695699183,,,
18.08,57.18,18.33039332,57.89834125,,,,1.146222957,0.12537678,,,
19.06,57.18,18.86187527,56.5983394,,,,0.008211627,0.12537678,,,
20.04,55.72,20.12482111,56.17040247,,,,0.791000296,3.290907424,,,
20.04,57.67,20.10494259,57.33524526,,,,0.791000296,0.01847266,,,
20.53,57.67,20.30819194,57.9075003,,,,1.902694631,0.01847266,,,
18.57,58.16,18.92949027,58.00489158,,,,0.337117292,0.39176854,,,
19.06,57.18,18.600061,57.25971113,,,,0.008211627,0.12537678,,,
18.57,55.23,19.08494059,55.22827801,,,,0.337117292,5.308811544,,,
19.55,55.72,19.02527698,55.63313539,,,,0.159505961,3.290907424,,,
18.57,58.16,19.06497077,58.34890016,,,,0.337117292,0.39176854,,,
19.55,58.16,19.11633239,57.86043378,,,,0.159505961,0.39176854,,,
19.06,56.21,19.40873592,56.61652142,,,,0.008211627,1.753203304,,,
19.06,57.18,18.81298729,56.68687935,,,,0.008211627,0.12537678,,,
18.57,56.7,18.70470941,57.24341194,,,,0.337117292,0.695699183,,,
19.06,59.14,19.04107067,58.59309514,,,,0.008211627,2.578960299,,,
18.08,57.67,17.98916092,58.17151103,,,,1.146222957,0.01847266,,,
18.08,57.18,18.26255208,56.7660692,,,,1.146222957,0.12537678,,,
19.55,56.21,19.30657539,56.5077358,,,,0.159505961,1.753203304,,,
19.06,57.67,19.32319761,57.49992966,,,,0.008211627,0.01847266,,,
19.55,58.16,19.31251759,58.20794104,,,,0.159505961,0.39176854,,,
19.06,57.67,19.22986132,57.72512233,,,,0.008211627,0.01847266,,,
19.55,58.16,19.47796213,58.02874844,,,,0.159505961,0.39176854,,,
19.06,58.16,19.02191267,58.3386464,,,,0.008211627,0.39176854,,,
18.57,58.16,18.7100791,57.9597761,,,,0.337117292,0.39176854,,,
19.55,57.18,19.33447312,57.38123862,,,,0.159505961,0.12537678,,,
19.06,57.18,19.31225069,56.99314328,,,,0.008211627,0.12537678,,,
19.55,57.67,19.30303112,57.83053269,,,,0.159505961,0.01847266,,,
19.06,58.16,19.26582205,58.03624726,,,,0.008211627,0.39176854,,,
19.55,57.67,19.40716294,57.7472036,,,,0.159505961,0.01847266,,,
19.55,58.16,19.62686273,58.13729114,,,,0.159505961,0.39176854,,,
19.55,57.67,19.52229316,57.63481585,,,,0.159505961,0.01847266,,,
19.55,57.18,19.56224247,57.26884693,,,,0.159505961,0.12537678,,,
19.55,58.16,19.50886842,58.03145118,,,,0.159505961,0.39176854,,,
19.06,57.67,19.17657396,57.81422448,,,,0.008211627,0.01847266,,,
19.55,56.7,19.31870402,56.57248938,,,,0.159505961,0.695699183,,,
19.55,57.67,19.91900721,57.74408077,,,,0.159505961,0.01847266,,,
19.55,58.65,19.04329087,58.6635674,,,,0.159505961,1.245264419,,,
19.06,57.18,19.67912649,57.05636908,,,,0.008211627,0.12537678,,,
21.51,57.18,20.82529577,57.41473472,,,,5.5666833,0.12537678,,,
17.6,57.18,18.29130477,56.86032373,,,,2.404416262,0.12537678,,,
18.57,55.72,17.9308627,56.07322551,,,,0.337117292,3.290907424,,,
19.06,56.21,19.59963042,55.88823423,,,,0.008211627,1.753203304,,,
19.06,54.74,18.64868754,54.97110525,,,,0.008211627,7.806915664,,,
18.08,58.65,18.35518238,58.5413564,,,,1.146222957,1.245264419,,,
19.55,58.16,19.39867064,58.15740549,,,,0.159505961,0.39176854,,,
19.06,56.21,19.11678859,56.2675258,,,,0.008211627,1.753203304,,,
18.57,59.63,18.56630135,59.60433364,,,,0.337117292,4.392856179,,,
18.08,58.65,18.07728647,58.55389991,,,,1.146222957,1.245264419,,,
18.08,56.7,18.04583576,56.98036681,,,,1.146222957,0.695699183,,,
19.55,56.21,19.65200828,55.73290037,,,,0.159505961,1.753203304,,,
19.06,56.21,18.87834434,56.83967005,,,,0.008211627,1.753203304,,,
17.6,60.61,17.8518394,59.91642486,,,,2.404416262,9.461247939,,,
20.04,56.21,19.74475196,56.86147586,,,,0.791000296,1.753203304,,,
19.55,58.16,19.85336257,57.64110446,,,,0.159505961,0.39176854,,,
19.55,58.65,19.27210951,58.98813505,,,,0.159505961,1.245264419,,,
18.57,57.18,18.7984444,57.01701189,,,,0.337117292,0.12537678,,,
18.57,58.16,18.40208859,58.20073425,,,,0.337117292,0.39176854,,,
19.55,57.67,19.65770185,57.67172709,,,,0.159505961,0.01847266,,,
19.55,57.67,19.49517451,57.70650136,,,,0.159505961,0.01847266,,,
19.06,58.16,19.07180152,58.02671368,,,,0.008211627,0.39176854,,,
19.55,57.18,19.57097316,57.43251279,,,,0.159505961,0.12537678,,,
19.55,58.65,19.50809038,58.29458187,,,,0.159505961,1.245264419,,,
19.55,57.67,19.59570507,58.08061505,,,,0.159505961,0.01847266,,,
19.55,58.16,19.52722389,57.7595796,,,,0.159505961,0.39176854,,,
19.55,57.18,19.51105257,57.50268573,,,,0.159505961,0.12537678,,,
18.08,58.65,18.23002423,58.46138922,,,,1.146222957,1.245264419,,,
18.57,59.14,18.2560303,59.15782446,,,,0.337117292,2.578960299,,,
18.57,57.67,19.09168118,57.83737569,,,,0.337117292,0.01847266,,,
17.11,59.63,16.36167008,59.28360672,,,,4.164121927,4.392856179,,,
16.13,59.14,17.0854578,59.64174268,,,,9.124133257,2.578960299,,,
19.55,57.67,18.45064426,57.05209752,,,,0.159505961,0.01847266,,,
16.13,57.18,17.27361821,57.86008995,,,,9.124133257,0.12537678,,,
20.04,57.18,18.96884522,56.50434459,,,,0.791000296,0.12537678,,,
18.08,53.27,18.97082972,53.86849195,,,,1.146222957,18.18242802,,,
19.06,59.14,18.42373743,58.68633793,,,,0.008211627,2.578960299,,,
17.6,60.61,17.95745749,60.86826647,,,,2.404416262,9.461247939,,,
17.6,57.18,17.49183507,57.14298801,,,,2.404416262,0.12537678,,,
18.57,56.7,18.50271598,56.51499848,,,,0.337117292,0.695699183,,,
17.6,56.7,17.74412752,57.08805363,,,,2.404416262,0.695699183,,,
18.57,57.18,18.44825169,56.62020472,,,,0.337117292,0.12537678,,,
19.06,55.72,19.08186753,56.41385059,,,,0.008211627,3.290907424,,,
17.6,59.14,17.71837761,58.35351232,,,,2.404416262,2.578960299,,,
18.08,58.65,17.82418166,59.48269576,,,,1.146222957,1.245264419,,,
19.06,57.67,19.41049622,56.84677258,,,,0.008211627,0.01847266,,,
20.53,56.21,20.1567621,56.95465306,,,,1.902694631,1.753203304,,,
19.06,58.16,19.37088138,57.57623312,,,,0.008211627,0.39176854,,,
19.55,56.7,19.38148108,57.0353601,,,,0.159505961,0.695699183,,,
19.06,58.16,19.02811914,58.14996121,,,,0.008211627,0.39176854,,,
18.57,58.16,18.82644651,57.79813051,,,,0.337117292,0.39176854,,,
19.55,58.65,19.0830696,59.38304625,,,,0.159505961,1.245264419,,,
19.06,58.16,19.68901651,57.11107262,,,,0.008211627,0.39176854,,,
21.99,51.32,21.27060351,52.58187638,,,,8.062089996,38.61486279,,,
19.55,59.14,20.27979019,57.79562869,,,,0.159505961,2.578960299,,,
20.04,58.65,19.37314911,59.94522614,,,,0.791000296,1.245264419,,,
19.06,57.67,19.60835235,56.53359372,,,,0.008211627,0.01847266,,,
18.08,57.18,17.68243887,58.08361138,,,,1.146222957,0.12537678,,,
17.11,59.14,17.34807207,58.50346978,,,,4.164121927,2.578960299,,,
20.53,55.72,20.43977648,56.09246927,,,,1.902694631,3.290907424,,,
21.02,56.7,20.98866647,56.55697254,,,,3.494588966,0.695699183,,,
18.57,57.67,18.68952995,57.64167675,,,,0.337117292,0.01847266,,,
19.55,57.18,19.37443755,57.30876698,,,,0.159505961,0.12537678,,,
18.57,57.67,18.77693226,57.51205827,,,,0.337117292,0.01847266,,,
16.62,56.7,16.39725387,56.82760067,,,,6.404027592,0.695699183,,,
18.08,56.7,18.30852502,56.64143255,,,,1.146222957,0.695699183,,,
19.06,58.16,18.83640827,58.13567693,,,,0.008211627,0.39176854,,,
16.13,58.65,16.33237429,58.7477718,,,,9.124133257,1.245264419,,,
16.62,58.16,16.46174337,58.01544356,,,,6.404027592,0.39176854,,,
18.08,57.18,18.16749907,57.33624702,,,,1.146222957,0.12537678,,,
18.57,58.16,18.57815637,58.02619565,,,,0.337117292,0.39176854,,,
19.55,57.18,19.4298456,57.26589689,,,,0.159505961,0.12537678,,,
21.02,55.72,21.25292887,55.69485146,,,,3.494588966,3.290907424,,,
20.53,56.21,20.20453929,56.17343923,,,,1.902694631,1.753203304,,,
18.57,57.18,18.94530507,57.27198061,,,,0.337117292,0.12537678,,,
19.55,58.65,19.18536158,58.50984127,,,,0.159505961,1.245264419,,,
18.57,57.67,18.8564062,57.85545971,,,,0.337117292,0.01847266,,,
19.55,56.7,19.40181279,56.46558323,,,,0.159505961,0.695699183,,,
19.06,56.7,19.03217895,56.99166066,,,,0.008211627,0.695699183,,,
18.57,58.16,18.7789371,57.80340427,,,,0.337117292,0.39176854,,,
19.55,58.16,19.19080999,58.58214487,,,,0.159505961,0.39176854,,,
18.57,58.65,19.01762264,58.17403325,,,,0.337117292,1.245264419,,,
19.55,57.18,19.09446279,57.683696,,,,0.159505961,0.12537678,,,
18.57,58.65,18.95093296,58.15687097,,,,0.337117292,1.245264419,,,
20.53,56.7,20.29090649,57.13788147,,,,1.902694631,0.695699183,,,
20.53,56.7,20.58910243,56.36074535,,,,1.902694631,0.695699183,,,
19.06,57.18,19.18289478,57.38599099,,,,0.008211627,0.12537678,,,
19.55,58.16,19.27817123,58.1074429,,,,0.159505961,0.39176854,,,
19.55,57.67,19.91110856,57.5667398,,,,0.159505961,0.01847266,,,
19.55,57.67,19.17212318,57.91315453,,,,0.159505961,0.01847266,,,
17.6,59.63,17.9255588,59.27860937,,,,2.404416262,4.392856179,,,
19.55,58.65,19.32669267,59.06766072,,,,0.159505961,1.245264419,,,
19.55,57.67,19.65194011,57.23108184,,,,0.159505961,0.01847266,,,
18.08,55.72,18.08318046,56.13974434,,,,1.146222957,3.290907424,,,
18.57,57.67,18.50957522,57.2988335,,,,0.337117292,0.01847266,,,
19.06,57.18,19.10882746,57.48783525,,,,0.008211627,0.12537678,,,
19.06,57.67,19.09793741,57.42625026,,,,0.008211627,0.01847266,,,
19.55,58.16,19.3592532,58.34772078,,,,0.159505961,0.39176854,,,
19.55,56.21,19.93689675,56.06932898,,,,0.159505961,1.753203304,,,
19.55,55.23,18.9557996,55.32652098,,,,0.159505961,5.308811544,,,
17.11,57.67,17.88685916,57.6234376,,,,4.164121927,0.01847266,,,
20.04,57.67,19.13785357,57.6550468,,,,0.791000296,0.01847266,,,
19.06,57.67,20.00646357,57.75696332,,,,0.008211627,0.01847266,,,
19.55,58.65,18.65036326,58.48893131,,,,0.159505961,1.245264419,,,
17.11,58.16,17.87711621,58.38392988,,,,4.164121927,0.39176854,,,
19.55,57.67,18.98008951,57.40883913,,,,0.159505961,0.01847266,,,
17.6,56.21,17.94155376,56.47135277,,,,2.404416262,1.753203304,,,
18.57,57.67,18.44853858,57.45081637,,,,0.337117292,0.01847266,,,
20.53,58.16,20.4755085,58.29683407,,,,1.902694631,0.39176854,,,
19.06,58.16,19.2233141,58.13652931,,,,0.008211627,0.39176854,,,
19.55,58.65,19.34948304,58.54332395,,,,0.159505961,1.245264419,,,
19.06,58.65,19.23968858,58.8868,,,,0.008211627,1.245264419,,,
19.06,58.16,18.93365736,57.80989048,,,,0.008211627,0.39176854,,,
19.55,56.7,19.6186257,57.13247397,,,,0.159505961,0.695699183,,,
18.57,58.16,18.54157056,57.68509955,,,,0.337117292,0.39176854,,,
19.55,56.21,19.56601664,56.68508012,,,,0.159505961,1.753203304,,,
20.04,56.21,20.0103133,55.77276955,,,,0.791000296,1.753203304,,,
